title,community,area,size,price
首钢园对面 电梯洋房320起 精装修 得房率95,长安华曦府,门头沟-永定-长安街 新首钢 S1号线上岸站北350米,96㎡,480万
东三环 双井地铁口05年小区 商品房满五  精装大两居不临街,百环家园,朝阳-双井-广渠路66号,103.57㎡,435万
双井百环家园3室1厅 满五年   业主诚意出售,百环家园,朝阳-双井-广渠路66号,139.62㎡,598万
165萬，两层别墅，精装修现房，万科开发，隐居生活,万科七橡墅(新房),房山-房山周边-云峰寺路万科七橡墅营销中心,180㎡,195万
三环近地铁09年次新板楼 前后观园景不临街,首城国际,朝阳-双井-广渠路36号,86.18㎡,650万
百环家园新上观  三居室，三室两卫 地铁10号7号双线有钥匙,百环家园,朝阳-双井-广渠路66号,139.64㎡,638万
双井百环家园2室1厅 满五年   诚意出售,百环家园,朝阳-双井-广渠路66号,95.78㎡,419万
芍药居北里三区满五  客厅有南窗2室1厅,芍药居北里小区,朝阳-芍药居-北四环东路,61.49㎡,412万
双井百环家园2室1厅,百环家园,朝阳-双井-广渠路66号,109.49㎡,430万
首城2居，2013年板楼，价格可大谈，高层无遮挡，我有钥匙,首城国际,朝阳-双井-广渠路36号,88㎡,650万
新上双井百环家园3室1厅必看好房,百环家园,朝阳-双井-广渠路66号,125.51㎡,575万
双井首城国际B区全南两居 位置好 满五年   精装修,首城国际,朝阳-双井-广渠路36号,89.98㎡,599万
双井百环家园2室1厅,百环家园,朝阳-双井-广渠路66号,100.15㎡,418万
此楼已经改造 出价就谈 芍药居北里一区  有电梯 有钥匙,芍药居北里小区,朝阳-芍药居-北四环东路,67㎡,399万
新上 双井百环家园2室1厅 满五年   观,百环家园,朝阳-双井-广渠路66号,95.78㎡,428万
石景山必看楼盘 360 四叶草户型得房率91,中交·伴山观岚,石景山-五里坨-黑石头路,95㎡,428万
林肯公园高层南北两居,林肯公园C区,大兴-亦庄-文化园西路8号,93.37㎡,490万
区域聚集 单价6 买三环南向两居 苹果社区必看好房,苹果社区(南区),朝阳-双井-百子湾路32号,96㎡,599万
林肯公园空中别墅挑空,林肯公园C区,大兴-亦庄-文化园西路8号,155㎡,680万
优选好房  一梯两户 南北向二居 采光无影响  可看,润泽悦溪,朝阳-北苑-水岸南街,87.44㎡,550万
金域东郡 精装可拎包入住   清晰 看房也方便。,金域东郡,大兴-亦庄-四合路3号,74.88㎡,398万
新上！金域东郡 满五V1 两居室，两个车位 精装修 电梯,金域东郡,大兴-亦庄-四合路3号,74㎡,375万
（必卖好房！！）百环家园 精装修 采光好 视野开阔 近地铁,百环家园,朝阳-双井-广渠路66号,103.59㎡,445万
双井百环家园2室1厅,百环家园,朝阳-双井-广渠路66号,98.64㎡,450万
北京城建上河湾(南区) 停车方便 双卫生间 电梯房 满五,北京城建上河湾(南区),密云-密云城区-李各庄路6号,120㎡,195万
必卖好房东坝常青藤低密  洋房带电梯  3层仅  地暖近地铁,首开常青藤(C区),朝阳-东坝-单店西路15号,91.57㎡,519万
特蕙838萬 海淀田村第四代改善精装住宅 紧邻地铁配套齐全,北京隅·海岄,海淀-田村-北京市海淀区宝山中路东侧约300米,108㎡,950万
东坝恒大江湾两居，客厅带阳台，采光非常好，不临街，看房随时,恒大江湾,朝阳-东坝-润泽路,90.23㎡,295万
潘家园弘善家园2室1厅,弘善家园,朝阳-潘家园-华威南路42号,70.81㎡,208万
长阳溪雅苑一区3室2厅,九洲溪雅苑(一区),房山-长阳-京良路,156.02㎡,285万
五 松南 洋房 大成郡 5层 南北三居 采光充足 中高楼层,大成郡,丰台-岳各庄-大成路,121.3㎡,780万
"急售，紫竹桥,南北通透三居室，无遮挡，随时看房，采光好。",车道沟南里小区,海淀-紫竹桥-车道沟南路,61.63㎡,420万
166   ，甘露园小三居 中间层可,甘露园南里二社区(甘露园南里二区),朝阳-甘露园-朝阳路,70.9㎡,210万
大客厅16平，2层，双地铁（1012号线）闹中取静，,安贞里(二区),朝阳-安贞-安定路,59.51㎡,280万
望京方舟苑，全明结构两居室，落地窗高层视野好，老客户关系好,方舟苑,朝阳-花家地-北四环东路甲9号,99㎡,420万
河景房 运河湾南区 电梯双卫4居 观河无遮挡 次新小区,运河湾(南区),通州-武夷花园-潞通大街198号,149.28㎡,679万
山语城(三区) 密度低 小区新 有电梯 南北通透 双卫格局,山语城(三区),丰台-云岗-王佐路,116.59㎡,419万
新上！CBD华腾园东南两居 精装修  出行方便 带地下车位,华腾园,朝阳-劲松-东三环南路54号,88.81㎡,482万
号外 社区杨店长 为您匹配好房 南北通透 采光好 税费少,京城雅居,朝阳-豆各庄-黄广路,173.98㎡,599万
通州宋庄，现房，买一得三，使用300，5.7 挑空,金地北京壹街区(6号院),通州-宋庄-林韵东路6号,120㎡,410万
望京南湖中园二区2室1厅,南湖中园(二区),朝阳-望京-湖光北街,70.31㎡,335万
新上二环     南北通透 板楼位置安静中间楼层  精装修,芳古园一区,丰台-方庄-方庄蒲芳路9号,57.14㎡,236万
好房 丽泽商务区地铁1016号线 明厨明卫,三环新城7号院,丰台-玉泉营-丰桥路7号,95.78㎡,360万
必看！甘露园站2018年次新房 宝成雅园 西南两居 随时可看,宝成雅园,朝阳-朝青板块-朝阳路87号,98.71㎡,420万
北苑家园绣菊园南区  高楼层  满五    阳光充足,绣菊园(南区),朝阳-北苑-春华路,94.38㎡,339万
满五   小三房   清晰 朝南 高楼层视野无遮挡 精装修,首开国风美仑,通州-马驹桥-兴贸二街,90.6㎡,220万
万达富力金禧花园2室1厅,富力金禧花园,通州-新华大街-新华南路,94.44㎡,410万
甜水园秀水园，西南两居 94年电梯直达 满五,秀水园小区,朝阳-甜水园-甜水园街,58.04㎡,208万
回龙观，佰嘉城，南北3居2卫，商品房满五,佰嘉城,昌平-回龙观-回南路9号,119.94㎡,285万
聚集 低总价全明格局 高楼层两居 大西洋新城F区 性价比高,大西洋新城(F区),朝阳-望京-南湖南路10号,78.44㎡,548万
万泉盛景园南向一室一厅 次新电梯 2梯4户 地铁房丽泽商务圈,万泉盛景园,丰台-丽泽桥-柳村路6号,58.27㎡,256万
阜成门 北礼士路68号 满五年公房，南北通透三居，中间楼层,北礼士路68号院,西城-阜成门-北礼士路68号,80.1㎡,670万
安贞安华西里三区2室1厅,安华西里(三区),朝阳-安贞-安华路,69.39㎡,368万
右安门外亚林西居住区2室1厅,亚林西居住区,丰台-右安门-西铁营中路9号,57.54㎡,269万
10号线 角门东里 西南两居室 高楼层采光好 有钥匙看房随时,角门东里小区,"丰台-角门-角门路,近马家堡路",62.65㎡,225万
万科翡翠公园出售小上叠,翡翠公园(卓兴路4号院),昌平-北七家-卓兴路4号,78.02㎡,598万
天宫院龙湖时代天街西区3室2厅,龙湖时代天街(西区),大兴-生物医药基地-永兴路7号,135.68㎡,405万
精装修 91年芳园里 2室带客厅 中层 近将台地铁站百,芳园里社区(南区),朝阳-酒仙桥-将台路,57.83㎡,269万
215起拍 大兴区高 店 新里西斯莱公馆 81平 两居,新里西斯莱公馆,大兴-高米店-兴丰大街一段18号,81.84㎡,269万
后沙峪 次新房 刚需小三居 首付40,金成雅苑,顺义-后沙峪-裕庆路12号,89.21㎡,255万
交易有保单 必看好房 店长力荐 首座御园二期二号院,首座御园(二期2号院),大兴-黄村-清泰路2号,118.1㎡,280万
玉兴园 得房9  一梯两户 带车位 公园洋房  安静  社区,玉兴园小区,石景山-八宝山-鲁谷路74号,83.95㎡,499万
东坝福润四季B区2室1厅,北京城建福润四季B区,朝阳-东坝-管庄路,75.24㎡,235万
双500强国央企联手打造，璟上兰园品质洋房等你来,璟上兰园,顺义-后沙峪-火寺路与火沙路交口向北约200米,105㎡,578万
枣园小区南北两居，紧邻地铁，满五,枣园小区,大兴-枣园-兴华大街,70.25㎡,188万
通州果园 格瑞雅居2居，满五  ，不临街，小区中间位置,格瑞雅居,通州-九棵树-翠屏西路,83.97㎡,190万
丰台南路105号院 购物方便 南北通透 医疗配套成熟 地铁旁,丰台南路105号院,丰台-看丹桥-丰台南路105号,57.36㎡,185万
精装东南三居室，成熟社区，配套齐全，中间楼层，出行方便近地铁,安苑北里,朝阳-惠新西街-安定路,80.15㎡,480万
副中心运河畔  柳岸景园  单价2.4万三居，价还能谈!,柳岸景园,通州-运河大街-运河东大街3号,123.84㎡,298万
带   2条地铁 南北复式通透 明厨明卫看河景单价  急售,富河园,通州-北关-新华北路,184.25㎡,304万
宝星园 05年 人车分流社区 带hua园 单价4开头,宝星园,朝阳-望京-阜安西路,143㎡,680万
（318萬）第三座华曦府，得房超9成，精装满配，270度采光,长安华曦府,门头沟-永定-长安街 新首钢 S1号线上岸站北350米,96㎡,480万
东三环 双井地铁口05年小区 商品房满五  精装大两居不临街,百环家园,朝阳-双井-广渠路66号,103.57㎡,435万
双井百环家园3室1厅 满五年   业主诚意出售,百环家园,朝阳-双井-广渠路66号,139.62㎡,598万
地铁边 万科精装现房别墅 来电享155萬）随时可看,万科七橡墅(新房),房山-房山周边-云峰寺路万科七橡墅营销中心,180㎡,195万
百环家园新上观  三居室，三室两卫 地铁10号7号双线有钥匙,百环家园,朝阳-双井-广渠路66号,139.64㎡,638万
双井百环家园2室1厅 满五年   诚意出售,百环家园,朝阳-双井-广渠路66号,95.78㎡,419万
双井百环家园2室1厅,百环家园,朝阳-双井-广渠路66号,109.49㎡,430万
首城2居，2013年板楼，价格可大谈，高层无遮挡，我有钥匙,首城国际,朝阳-双井-广渠路36号,88㎡,650万
新上双井百环家园3室1厅必看好房,百环家园,朝阳-双井-广渠路66号,125.51㎡,575万
双井首城国际B区全南两居 位置好 满五年   精装修,首城国际,朝阳-双井-广渠路36号,89.98㎡,599万
365萬，石景山 精装洋房 人大富旁10萬家电大礼包,中交·伴山观岚,石景山-五里坨-黑石头路,95㎡,428万
新上 东三环 双井首城国际B区2室1厅 全南朝向无遮挡,首城国际,朝阳-双井-广渠路36号,86.9㎡,650万
新上 双井百环家园2室1厅 满五年   观,百环家园,朝阳-双井-广渠路66号,95.78㎡,428万
林肯公园高层南北两居,林肯公园C区,大兴-亦庄-文化园西路8号,93.37㎡,490万
区域聚集 单价6 买三环南向两居 苹果社区必看好房,苹果社区(南区),朝阳-双井-百子湾路32号,96㎡,599万
林肯公园空中别墅挑空,林肯公园C区,大兴-亦庄-文化园西路8号,155㎡,680万
金域东郡 精装可拎包入住   清晰 看房也方便。,金域东郡,大兴-亦庄-四合路3号,74.88㎡,398万
新上！金域东郡 满五V1 两居室，两个车位 精装修 电梯,金域东郡,大兴-亦庄-四合路3号,74㎡,375万
双井百环家园2室1厅,百环家园,朝阳-双井-广渠路66号,100.15㎡,418万
百环家园西南两居室 业主诚意出售,百环家园,朝阳-双井-广渠路66号,90.93㎡,439万
双井百环家园2室1厅,百环家园,朝阳-双井-广渠路66号,98.64㎡,450万
北京城建上河湾(南区) 停车方便 双卫生间 电梯房 满五,北京城建上河湾(南区),密云-密云城区-李各庄路6号,120㎡,195万
海淀五环内低门槛纯洋房对标豪宅打造的好房子紧邻地铁,北京隅·海岄,海淀-田村-北京市海淀区宝山中路东侧约300米,108㎡,950万
东坝恒大江湾两居，客厅带阳台，采光非常好，不临街，看房随时,恒大江湾,朝阳-东坝-润泽路,90.23㎡,295万
瑞海家园一区2室1厅 普装,瑞海家园(一区),大兴-西红门-宏旭路,105.83㎡,250万
长阳中铁国际  3号院南北三居品质小区,中国铁建国际花园(3号院),房山-长阳-长兴东街3号,89.79㎡,215万
潘家园弘善家园2室1厅,弘善家园,朝阳-潘家园-华威南路42号,70.81㎡,208万
新上天露园二区2008年小区，南北通透。满五年,天露园(二区),昌平-回龙观-龙禧二街,97.45㎡,299万
大客厅16平，2层，双地铁（1012号线）闹中取静，,安贞里(二区),朝阳-安贞-安定路,59.51㎡,280万
河景房 运河湾南区 电梯双卫4居 观河无遮挡 次新小区,运河湾(南区),通州-武夷花园-潞通大街198号,149.28㎡,679万
山语城(三区) 密度低 小区新 有电梯 南北通透 双卫格局,山语城(三区),丰台-云岗-王佐路,116.59㎡,419万
新宫419号线阳光星苑北区南北通透2室1厅视野佳,阳光星苑(北区),丰台-新宫-西红门路18号,66.86㎡,180万
号外 社区杨店长 为您匹配好房 南北通透 采光好 税费少,京城雅居,朝阳-豆各庄-黄广路,173.98㎡,599万
通州宋庄，现房，买一得三，使用300，5.7 挑空,金地北京壹街区(6号院),通州-宋庄-林韵东路6号,120㎡,410万
新宫地铁站 南庭新苑南区2室1厅 精装,南庭新苑南区,丰台-新宫-槐房西路,69.01㎡,237万
国惠村 两室一厅一卫 满五,国惠村,昌平-南邵镇-景昌南街2号,80.11㎡,190万
鲁谷  园三居复试户型南北通,六合园,石景山-鲁谷-鲁谷南路,121.7㎡,295万
新上二环     南北通透 板楼位置安静中间楼层  精装修,芳古园一区,丰台-方庄-方庄蒲芳路9号,57.14㎡,236万
天赐良园西区正规两居室，临近地铁口，采光视野好。,天赐良园(西区),通州-物资学院路-西富河园5号,73.32㎡,199万
北苑家园绣菊园南区  高楼层  满五    阳光充足,绣菊园(南区),朝阳-北苑-春华路,94.38㎡,339万
好房 丽泽商务区地铁1016号线 明厨明卫,三环新城7号院,丰台-玉泉营-丰桥路7号,95.78㎡,360万
2015年电梯房   南向两居室   中高楼层   只,双桥嘉园,朝阳-双桥-康中街6号,79.61㎡,199万
甜水园秀水园，西南两居 94年电梯直达 满五,秀水园小区,朝阳-甜水园-甜水园街,58.04㎡,208万
回龙观，佰嘉城，南北3居2卫，商品房满五,佰嘉城,昌平-回龙观-回南路9号,119.94㎡,285万
西山艺境3号院 视野宽阔 南北   人车分流,西山艺境3号院,门头沟-龙泉-黑山大街,123.85㎡,489万
万泉盛景园南向一室一厅 次新电梯 2梯4户 地铁房丽泽商务圈,万泉盛景园,丰台-丽泽桥-柳村路6号,58.27㎡,256万
北关悦澜水岸家园2室1厅,房地远洋悦山水,通州-北关-安顺路2号,89.48㎡,180万
阜成门 北礼士路68号 满五年公房，南北通透三居，中间楼层,北礼士路68号院,西城-阜成门-北礼士路68号,80.1㎡,670万
南二环.景风门地铁1419开阳里高层视野好，南北通透三居.,开阳里三区,丰台-右安门-开阳里三街,115.85㎡,558万
合生汇边上 车位充足  低密度 无遮挡 视野开阔 税费少,中海安德鲁斯庄园(西区),朝阳-百子湾-高碑店路181号,223㎡,916万
林肯公园采光好两居室出售,林肯公园C区,大兴-亦庄-文化园西路8号,94.28㎡,270万
右安门外亚林西居住区2室1厅,亚林西居住区,丰台-右安门-西铁营中路9号,57.54㎡,269万
天宫院龙湖时代天街西区3室2厅,龙湖时代天街(西区),大兴-生物医药基地-永兴路7号,135.68㎡,405万
东坝康静里南北通透 一梯两户，同户型大三平,康静里小区,朝阳-东坝-平房路,61.35㎡,189万
世纪城 南北通透 三居 中楼层 主卧客厅朝南 户型房子,怡丽南园,海淀-世纪城-蓝靛厂路,127.43㎡,960万
10号线 角门东里 西南两居室 高楼层采光好 有钥匙看房随时,角门东里小区,"丰台-角门-角门路,近马家堡路",62.65㎡,225万
215起拍 大兴区高 店 新里西斯莱公馆 81平 两居,新里西斯莱公馆,大兴-高米店-兴丰大街一段18号,81.84㎡,269万
后沙峪 次新房 刚需小三居 首付40,金成雅苑,顺义-后沙峪-裕庆路12号,89.21㎡,255万
枣园小区南北两居，紧邻地铁，满五,枣园小区,大兴-枣园-兴华大街,70.25㎡,188万
旧宫清逸西园2室1厅,清逸西园,大兴-旧宫-庑殿路,70.76㎡,194.5万
单价4萬起 近地铁 超高得房率 精装三居四局 一期开盘售罄,长安华曦府,门头沟-永定-长安街 新首钢 S1号线上岸站北350米,96㎡,480万
东三环 双井地铁口05年小区 商品房满五  精装大两居不临街,百环家园,朝阳-双井-广渠路66号,103.57㎡,435万
双井百环家园3室1厅 满五年   业主诚意出售,百环家园,朝阳-双井-广渠路66号,139.62㎡,598万
165澫太 了180平，安家，地铁通勤必看， 万科现房精妆,万科七橡墅(新房),房山-房山周边-云峰寺路万科七橡墅营销中心,180㎡,195万
百环家园新上观  三居室，三室两卫 地铁10号7号双线有钥匙,百环家园,朝阳-双井-广渠路66号,139.64㎡,638万
双井百环家园2室1厅 满五年   诚意出售,百环家园,朝阳-双井-广渠路66号,95.78㎡,419万
双井百环家园2室1厅,百环家园,朝阳-双井-广渠路66号,109.49㎡,430万
新上双井百环家园3室1厅必看好房,百环家园,朝阳-双井-广渠路66号,125.51㎡,575万
双井首城国际B区全南两居 位置好 满五年   精装修,首城国际,朝阳-双井-广渠路36号,89.98㎡,599万
新上 东三环 双井首城国际B区2室1厅 全南朝向无遮挡,首城国际,朝阳-双井-广渠路36号,86.9㎡,650万
百环家园西南两居室 业主诚意出售,百环家园,朝阳-双井-广渠路66号,90.93㎡,439万
首城D区 中间楼层 全南两居,首城国际,朝阳-双井-广渠路36号,88.61㎡,650万
365萬，石景山 精装洋房 人大富旁10萬家电大礼包,中交·伴山观岚,石景山-五里坨-黑石头路,95㎡,428万
林肯公园高层南北两居,林肯公园C区,大兴-亦庄-文化园西路8号,93.37㎡,490万
区域聚集 单价6 买三环南向两居 苹果社区必看好房,苹果社区(南区),朝阳-双井-百子湾路32号,96㎡,599万
林肯公园空中别墅挑空,林肯公园C区,大兴-亦庄-文化园西路8号,155㎡,680万
金域东郡 精装可拎包入住   清晰 看房也方便。,金域东郡,大兴-亦庄-四合路3号,74.88㎡,398万
新上！金域东郡 满五V1 两居室，两个车位 精装修 电梯,金域东郡,大兴-亦庄-四合路3号,74㎡,375万
新上 双井百环家园2室1厅 满五年   观,百环家园,朝阳-双井-广渠路66号,95.78㎡,428万
双井百环家园2室1厅,百环家园,朝阳-双井-广渠路66号,100.15㎡,418万
（必卖好房！！）百环家园 精装修 采光好 视野开阔 近地铁,百环家园,朝阳-双井-广渠路66号,103.59㎡,445万
特蕙838萬 海淀田村第四代改善精装住宅 紧邻地铁配套齐全,北京隅·海岄,海淀-田村-北京市海淀区宝山中路东侧约300米,108㎡,950万
东坝恒大江湾两居，客厅带阳台，采光非常好，不临街，看房随时,恒大江湾,朝阳-东坝-润泽路,90.23㎡,295万
瑞海家园一区2室1厅 普装,瑞海家园(一区),大兴-西红门-宏旭路,105.83㎡,250万
地铁口三居  低总价  急置换  好位置,保利春天里,大兴-生物医药基地-思邈路1号,84.47㎡,229万
长阳半岛万科精装 好位置好楼层 南向只有  采光好两居可大谈,长阳半岛1号院,房山-长阳-祥云街1号,89.88㎡,205万
五 松南 洋房 大成郡 5层 南北三居 采光充足 中高楼层,大成郡,丰台-岳各庄-大成路,121.3㎡,780万
166   ，甘露园小三居 中间层可,甘露园南里二社区(甘露园南里二区),朝阳-甘露园-朝阳路,70.9㎡,210万
大客厅16平，2层，双地铁（1012号线）闹中取静，,安贞里(二区),朝阳-安贞-安定路,59.51㎡,280万
河景房 运河湾南区 电梯双卫4居 观河无遮挡 次新小区,运河湾(南区),通州-武夷花园-潞通大街198号,149.28㎡,679万
山语城(三区) 密度低 小区新 有电梯 南北通透 双卫格局,山语城(三区),丰台-云岗-王佐路,116.59㎡,419万
通州宋庄，现房，买一得三，使用300，5.7 挑空,金地北京壹街区(6号院),通州-宋庄-林韵东路6号,120㎡,410万
北七家 冠华苑 棠棣园 南北通透东边户两居 采光好视野佳,龙冠冠华苑棠棣园,昌平-北七家-定泗路103号,89.84㎡,189万
急售！！朝阳公园酒仙桥双地铁两居室12号线50,酒仙桥路11号院,朝阳-酒仙桥-酒仙桥路,56.05㎡,198万
甜水园秀水园，西南两居 94年电梯直达 满五,秀水园小区,朝阳-甜水园-甜水园街,58.04㎡,208万
万泉盛景园南向一室一厅 次新电梯 2梯4户 地铁房丽泽商务圈,万泉盛景园,丰台-丽泽桥-柳村路6号,58.27㎡,256万
玉泉营首经贸地铁站 新上两居 西向两居 满五年   刚需好房,首经贸中街1号院,丰台-玉泉营-首经贸中街1号,83.92㎡,340万
北关悦澜水岸家园2室1厅,房地远洋悦山水,通州-北关-安顺路2号,89.48㎡,180万
南二环.景风门地铁1419开阳里高层视野好，南北通透三居.,开阳里三区,丰台-右安门-开阳里三街,115.85㎡,558万
亦庄开发区国锐金嵿2室2厅,国锐金嵿,大兴-亦庄-荣华南路1号,104.3㎡,300万
世纪城 南北通透 三居 中楼层 主卧客厅朝南 户型房子,怡丽南园,海淀-世纪城-蓝靛厂路,127.43㎡,960万
东坝康静里南北通透 一梯两户，同户型大三平,康静里小区,朝阳-东坝-平房路,61.35㎡,189万
安贞安华西里三区2室1厅,安华西里(三区),朝阳-安贞-安华路,69.39㎡,368万
215起拍 大兴区高 店 新里西斯莱公馆 81平 两居,新里西斯莱公馆,大兴-高米店-兴丰大街一段18号,81.84㎡,269万
后沙峪准现房（清盘428萬）精装三居，近地铁，6站地望京,璟上兰园,顺义-后沙峪-火寺路与火沙路交口向北约200米,105㎡,578万
天通苑西三区新上四居室 全明户型 满五   业主诚售,天通西苑三区,昌平-天通苑-立汤路,176.42㎡,340万
枣园小区南北两居，紧邻地铁，满五,枣园小区,大兴-枣园-兴华大街,70.25㎡,188万
万科假日风景(D区) 东边户  明厨明卫  采光好 停车方便,万科假日风景(D区),丰台-青塔-兴景路299号,91.85㎡,410万
世茂宫园 商业配套成熟 双卫格局 出行方便 有电梯 装修好,世茂宫园,朝阳-工体-东三环北路55号,185.52㎡,1010万
翠成E区 东南北高层三居 视野开阔 采光棒 满五    诚售,垡头翠成馨园(E区),朝阳-垡头-武基街,96.66㎡,248万
丰台南路105号院 购物方便 南北通透 医疗配套成熟 地铁旁,丰台南路105号院,丰台-看丹桥-丰台南路105号,57.36㎡,185万
带   2条地铁 南北复式通透 明厨明卫看河景单价  急售,富河园,通州-北关-新华北路,184.25㎡,304万
阿尔法二期 一层 满五   全明户型 温馨三居 清静宜居,阿尔法C区,通州-九棵树-万盛中一街,99.58㎡,309万
副中心运河畔  柳岸景园  单价2.4万三居，价还能谈!,柳岸景园,通州-运河大街-运河东大街3号,123.84㎡,298万
宝星园 05年 人车分流社区 带hua园 单价4开头,宝星园,朝阳-望京-阜安西路,143㎡,680万
京源八角融景城，价格能 到280，业主诚意出售,景秀园,石景山-衙门口-景阳东街67号,79.45㎡,319万
清盘急售365，顺义城区，变异户型，精装现房，15号地铁,璞瑅润府,顺义-顺义城区-顺沙路与外环路交叉口东侧,136㎡,530万
西二旗铭科苑 中间楼层 正规三居室 业主急售,西二旗铭科苑,海淀-西二旗-安宁庄西路29号,96.1㎡,380万
（  520）顺义仁和  龙湖佳作  独门独院 11 大面宽,龙湖·云河砚,顺义-李桥-通顺路与南环路交汇东2公里,375㎡,798万
望都家园，边户两居，明卫，中间楼层，小区中间位置。,望都家园,昌平-北七家-定泗路,118.6㎡,259万
